id,"food","amount",cuisine_id,"created_at","updated_at"
235,"とりもも肉","２枚",61,"0000-00-00 00:00:00","0000-00-00 00:00:00"
236,"にんにく","１片",61,"0000-00-00 00:00:00","0000-00-00 00:00:00"
237,"・塩、酒、片栗粉、揚げ油","適宣",61,"0000-00-00 00:00:00","0000-00-00 00:00:00"
238,"牛肉","200g",62,"0000-00-00 00:00:00","0000-00-00 00:00:00"
239,"にんにく","１かけ",62,"0000-00-00 00:00:00","0000-00-00 00:00:00"
240,"・塩、黒こしょう、サラダ油、バター","適宣",62,"0000-00-00 00:00:00","0000-00-00 00:00:00"
241,"牛肉","２枚",63,"0000-00-00 00:00:00","0000-00-00 00:00:00"
242,"揚げ油","適宣",63,"0000-00-00 00:00:00","0000-00-00 00:00:00"
243,"サラダ油","大さじ２",63,"0000-00-00 00:00:00","0000-00-00 00:00:00"
244,"塩","適宣",63,"0000-00-00 00:00:00","0000-00-00 00:00:00"
245,"こしょう","適宣",63,"0000-00-00 00:00:00","0000-00-00 00:00:00"
246,"・塩、こしょう、砂糖、バター","適宣",64,"0000-00-00 00:00:00","0000-00-00 00:00:00"
247,"牛肉","２枚",64,"0000-00-00 00:00:00","0000-00-00 00:00:00"
248,"牛肉","200g",65,"0000-00-00 00:00:00","0000-00-00 00:00:00"
249,"にんにく","150g",65,"0000-00-00 00:00:00","0000-00-00 00:00:00"
250,"・塩、こしょう、サラダ油、しょうゆ","適宣",65,"0000-00-00 00:00:00","0000-00-00 00:00:00"
251,"豚肉","450g",66,"0000-00-00 00:00:00","0000-00-00 00:00:00"
252,"・塩、砂糖、こしょう","適宣",66,"0000-00-00 00:00:00","0000-00-00 00:00:00"
253,"にんにく","1/2片",66,"0000-00-00 00:00:00","0000-00-00 00:00:00"
254,"牛肉","200g",67,"0000-00-00 00:00:00","0000-00-00 00:00:00"
255,"玉ねぎ","1/4個",67,"0000-00-00 00:00:00","0000-00-00 00:00:00"
256,"にんにく","１片",67,"0000-00-00 00:00:00","0000-00-00 00:00:00"
257,"　・酒、しょうゆ","大さじ２",67,"0000-00-00 00:00:00","0000-00-00 00:00:00"
258,"サラダ油","大さじ１",67,"0000-00-00 00:00:00","0000-00-00 00:00:00"
259,"豆腐","300g",68,"0000-00-00 00:00:00","0000-00-00 00:00:00"
260,"卵","３個",68,"0000-00-00 00:00:00","0000-00-00 00:00:00"
261,"・こしょう、酒、塩、しょうゆ、みりん","適宣",68,"0000-00-00 00:00:00","0000-00-00 00:00:00"
262,"牛肉","150g",68,"0000-00-00 00:00:00","0000-00-00 00:00:00"
263,"玉ねぎ","1/4個",68,"0000-00-00 00:00:00","0000-00-00 00:00:00"
264,"白菜","４枚",68,"0000-00-00 00:00:00","0000-00-00 00:00:00"
265,"しいたけ","４枚",68,"0000-00-00 00:00:00","0000-00-00 00:00:00"
267,"ねぎ","１本",68,"0000-00-00 00:00:00","0000-00-00 00:00:00"
268,"玉ねぎ","1/2個",69,"0000-00-00 00:00:00","0000-00-00 00:00:00"
269,"バター","大さじ１",69,"0000-00-00 00:00:00","0000-00-00 00:00:00"
270,"豚肉","75g",69,"0000-00-00 00:00:00","0000-00-00 00:00:00"
271,"牛肉","75g",69,"0000-00-00 00:00:00","0000-00-00 00:00:00"
272,"卵","１個",69,"0000-00-00 00:00:00","0000-00-00 00:00:00"
304,"こしょう","少々",56,"0000-00-00 00:00:00","0000-00-00 00:00:00"
1111,"うどん","２玉",710,"0000-00-00 00:00:00","0000-00-00 00:00:00"
2341,"豚肉","２枚",1011,"2017-10-24 09:36:42","2017-10-24 09:36:42"
2351,"レタス","３～４枚",1011,"2017-10-24 09:36:42","2017-10-24 09:36:42"
2361,"　・はちみつ、粒マスタード","各大さじ１",1011,"2017-10-24 09:36:42","2017-10-24 09:36:42"
2371,"　・酒、しょうゆ","各小さじ１",1011,"2017-10-24 09:36:42","2017-10-24 09:36:42"
2381,"　・塩","小さじ1/2",1011,"2017-10-24 09:36:42","2017-10-24 09:36:42"
2391,"　・こしょう","少々",1011,"2017-10-24 09:36:42","2017-10-24 09:36:42"
11111,"豚肉","35",720,"0000-00-00 00:00:00","0000-00-00 00:00:00"
33371,"玉ねぎ","１個",70,"0000-00-00 00:00:00","0000-00-00 00:00:00"
33431,"サラダ油","大さじ１",69,"0000-00-00 00:00:00","0000-00-00 00:00:00"
33441,"・塩、こしょう、砂糖","適宣",69,"0000-00-00 00:00:00","0000-00-00 00:00:00"
33451,"豚肉","400g",70,"0000-00-00 00:00:00","0000-00-00 00:00:00"
33461,"卵","１個",70,"0000-00-00 00:00:00","0000-00-00 00:00:00"
33471,"牛乳","1/2カップ",70,"0000-00-00 00:00:00","0000-00-00 00:00:00"
33481,"・バター、パン粉、塩、こしょう、サラダ油","適宣",70,"0000-00-00 00:00:00","0000-00-00 00:00:00"
33491,"しいたけ","２枚",70,"0000-00-00 00:00:00","0000-00-00 00:00:00"
33501,"玉ねぎ","1/2個",70,"0000-00-00 00:00:00","0000-00-00 00:00:00"
33511,"みりん","大さじ１",70,"0000-00-00 00:00:00","0000-00-00 00:00:00"
33521,"ウスターソース","大さじ1/2",70,"0000-00-00 00:00:00","0000-00-00 00:00:00"
33531,"しょうゆ","小さじ1/2",70,"0000-00-00 00:00:00","0000-00-00 00:00:00"
33541,"バター","適宣",70,"0000-00-00 00:00:00","0000-00-00 00:00:00"
33551,"豚肉","125g",74,"0000-00-00 00:00:00","0000-00-00 00:00:00"
33561,"牛肉","125g",74,"0000-00-00 00:00:00","0000-00-00 00:00:00"
33571,"玉ねぎ","1/3個",74,"0000-00-00 00:00:00","0000-00-00 00:00:00"
33581,"オリーブ油","小さじ２",74,"0000-00-00 00:00:00","0000-00-00 00:00:00"
33591,"塩","小さじ1/4",74,"0000-00-00 00:00:00","0000-00-00 00:00:00"
33601,"チーズ","大さじ３",74,"0000-00-00 00:00:00","0000-00-00 00:00:00"
33611,"こしょう","少々",74,"0000-00-00 00:00:00","0000-00-00 00:00:00"
33621,"ソース","大さじ１",74,"0000-00-00 00:00:00","0000-00-00 00:00:00"
33631,"牛肉","100g",73,"0000-00-00 00:00:00","0000-00-00 00:00:00"
33641,"豚肉","100g",73,"0000-00-00 00:00:00","0000-00-00 00:00:00"
33651,"玉ねぎ","1/4個",73,"0000-00-00 00:00:00","0000-00-00 00:00:00"
33661,"にんにく","１片",73,"0000-00-00 00:00:00","0000-00-00 00:00:00"
33671,"バター","20g",73,"0000-00-00 00:00:00","0000-00-00 00:00:00"
33681,"オリーブ油","適宣",73,"0000-00-00 00:00:00","0000-00-00 00:00:00"
33691,"塩","適宣",73,"0000-00-00 00:00:00","0000-00-00 00:00:00"
33701,"こしょう","適宣",73,"0000-00-00 00:00:00","0000-00-00 00:00:00"
33711,"豆腐","200g",71,"0000-00-00 00:00:00","0000-00-00 00:00:00"
33721,"牛肉","100g",71,"0000-00-00 00:00:00","0000-00-00 00:00:00"
33731,"豚肉","100g",71,"0000-00-00 00:00:00","0000-00-00 00:00:00"
33741,"卵","1/2個",71,"0000-00-00 00:00:00","0000-00-00 00:00:00"
33751,"片栗粉","大さじ１",71,"0000-00-00 00:00:00","0000-00-00 00:00:00"
33761,"玉ねぎ","１個",1008,"0000-00-00 00:00:00","0000-00-00 00:00:00"
33771,"塩","小さじ1/2",71,"0000-00-00 00:00:00","0000-00-00 00:00:00"
33781,"酒","大さじ1/2",71,"0000-00-00 00:00:00","0000-00-00 00:00:00"
