id,"genre","name",calorie,"created_at","updated_at"
1,"野菜","ロールキャベツ",258,"2017-10-24 09:36:27","2017-10-24 09:36:27"
2,"野菜","ゴーヤチャンプル",267,"2017-10-24 09:36:27","2017-10-24 09:36:27"
3,"野菜","きんぴらごぼう",74,"2017-10-24 09:36:27","2017-10-24 09:36:27"
4,"野菜","ポトフ",268,"2017-10-24 09:36:27","2017-10-24 09:36:27"
5,"野菜","ピーマンの肉詰め",324,"2017-10-24 09:36:27","2017-10-24 09:36:27"
6,"野菜","麻婆茄子",395,"2017-10-24 09:36:27","2017-10-24 09:36:27"
7,"野菜","ほうれん草のおひたし",45,"2017-10-24 09:36:27","2017-10-24 09:36:27"
8,"野菜","キムチ",45,"2017-10-24 09:36:27","2017-10-24 09:36:27"
9,"野菜","ひじきとにんじんの煮物",97,"2017-10-24 09:36:27","2017-10-24 09:36:27"
10,"野菜","ポテトサラダ",288,"2017-10-24 09:36:27","2017-10-24 09:36:27"
11,"野菜","マカロニサラダ",200,"2017-10-24 09:36:27","2017-10-24 09:36:27"
12,"野菜","いもサラダ",113,"2017-10-24 09:36:28","2017-10-24 09:36:28"
13,"野菜","オニオンサラダ",345,"2017-10-24 09:36:33","2017-10-24 09:36:33"
14,"野菜","豚しゃぶサラダ",221,"2017-10-24 09:36:28","2017-10-24 09:36:28"
15,"野菜","グリーンサラダ",104,"2017-10-24 09:36:32","2017-10-24 09:36:32"
16,"野菜","にんじんサラダ",119,"2017-10-24 09:36:32","2017-10-24 09:36:32"
17,"野菜","塩キャベツ",68,"2017-10-24 09:36:32","2017-10-24 09:36:32"
18,"野菜","かぼちゃのサラダ",81,"2017-10-24 09:36:32","2017-10-24 09:36:32"
19,"野菜","ほうれん草とコーンのサラダ",129,"2017-10-24 09:36:32","2017-10-24 09:36:32"
20,"野菜","切り干し大根",161,"2017-10-24 09:36:32","2017-10-24 09:36:32"
21,"野菜","トマトのサラダ",97,"2017-10-24 09:36:32","2017-10-24 09:36:32"
